JobID,JobName,Start,End,Elapsed,ReqMem,MaxRSS,ReqCPUS,NCPUS,CPUTime,CPUTimeRAW,Partition,ExitCode,State
4258458,abyss-short_BS02_240_140-5_IL100x,2025-12-16T22:09:46,2025-12-16T23:20:37,01:10:51,100G,,10,10,11:48:30,42510,general,0:0,COMPLETED
4258458.batch,batch,2025-12-16T22:09:46,2025-12-16T23:20:37,01:10:51,,69156456K,10,10,11:48:30,42510,,0:0,COMPLETED
4258468,abyss-short_BS04_120_524-1_IL75x,2025-12-16T22:14:28,2025-12-16T22:29:47,00:15:19,100G,,10,10,02:33:10,9190,jrw0107_std,0:0,COMPLETED
4258468.batch,batch,2025-12-16T22:14:28,2025-12-16T22:29:47,00:15:19,,26777884K,10,10,02:33:10,9190,,0:0,COMPLETED
4258469,abyss-short_BS04_120_524-1_IL100x,2025-12-16T22:14:51,2025-12-16T22:35:12,00:20:21,100G,,10,10,03:23:30,12210,general,0:0,COMPLETED
4258469.batch,batch,2025-12-16T22:14:51,2025-12-16T22:35:12,00:20:21,,31774888K,10,10,03:23:30,12210,,0:0,COMPLETED
4258479,abyss-short_BS05_240_246-2_IL75x,2025-12-16T22:18:54,2025-12-16T22:39:45,00:20:51,100G,,10,10,03:28:30,12510,general,0:0,COMPLETED
4258479.batch,batch,2025-12-16T22:18:54,2025-12-16T22:39:45,00:20:51,,34910996K,10,10,03:28:30,12510,,0:0,COMPLETED
4258480,abyss-short_BS05_240_246-2_IL100x,2025-12-16T22:18:54,2025-12-16T22:46:59,00:28:05,100G,,10,10,04:40:50,16850,general,0:0,COMPLETED
4258480.batch,batch,2025-12-16T22:18:54,2025-12-16T22:46:59,00:28:05,,41611444K,10,10,04:40:50,16850,,0:0,COMPLETED
4258490,abyss-short_BS05_240_248-5_IL75x,2025-12-16T22:22:27,2025-12-16T22:41:33,00:19:06,100G,,10,10,03:11:00,11460,general,0:0,COMPLETED
4258490.batch,batch,2025-12-16T22:22:27,2025-12-16T22:41:33,00:19:06,,25454308K,10,10,03:11:00,11460,,0:0,COMPLETED
4258491,abyss-short_BS05_240_248-5_IL100x,2025-12-16T22:22:58,2025-12-16T22:48:35,00:25:37,100G,,10,10,04:16:10,15370,general,0:0,COMPLETED
4258491.batch,batch,2025-12-16T22:22:58,2025-12-16T22:48:35,00:25:37,,35432440K,10,10,04:16:10,15370,,0:0,COMPLETED
4258492,abyss-short_BS05_360_328-3_IL10x,2025-12-16T22:23:28,2025-12-16T22:27:30,00:04:02,100G,,10,10,00:40:20,2420,general,0:0,COMPLETED
4258492.batch,batch,2025-12-16T22:23:28,2025-12-16T22:27:30,00:04:02,,13499120K,10,10,00:40:20,2420,,0:0,COMPLETED
4258493,abyss-short_BS05_360_328-3_IL15x,2025-12-16T22:24:29,2025-12-16T22:29:31,00:05:02,100G,,10,10,00:50:20,3020,general,0:0,COMPLETED
4258493.batch,batch,2025-12-16T22:24:29,2025-12-16T22:29:31,00:05:02,,12306.50M,10,10,00:50:20,3020,,0:0,COMPLETED
4258494,abyss-short_BS05_360_328-3_IL20x,2025-12-16T22:24:49,2025-12-16T22:30:59,00:06:10,100G,,10,10,01:01:40,3700,jrw0107_std,0:0,COMPLETED
4258494.batch,batch,2025-12-16T22:24:49,2025-12-16T22:30:59,00:06:10,,14121596K,10,10,01:01:40,3700,,0:0,COMPLETED
4258495,abyss-short_BS05_360_328-3_IL25x,2025-12-16T22:25:00,2025-12-16T22:32:31,00:07:31,100G,,10,10,01:15:10,4510,general,0:0,COMPLETED
4258495.batch,batch,2025-12-16T22:25:00,2025-12-16T22:32:31,00:07:31,,18198480K,10,10,01:15:10,4510,,0:0,COMPLETED
4258496,abyss-short_BS05_360_328-3_IL30x,2025-12-16T22:25:00,2025-12-16T22:33:52,00:08:52,100G,,10,10,01:28:40,5320,general,0:0,COMPLETED
4258496.batch,batch,2025-12-16T22:25:00,2025-12-16T22:33:52,00:08:52,,19126160K,10,10,01:28:40,5320,,0:0,COMPLETED
4258497,abyss-short_BS05_360_328-3_IL35x,2025-12-16T22:26:00,2025-12-16T22:36:14,00:10:14,100G,,10,10,01:42:20,6140,general,0:0,COMPLETED
4258497.batch,batch,2025-12-16T22:26:00,2025-12-16T22:36:14,00:10:14,,21408180K,10,10,01:42:20,6140,,0:0,COMPLETED
4258498,abyss-short_BS05_360_328-3_IL40x,2025-12-16T22:26:00,2025-12-16T22:37:38,00:11:38,100G,,10,10,01:56:20,6980,general,0:0,COMPLETED
