sample	technology	min_bp	max_bp	mean_bp	min_fit	max_fit	mean_fit	min_error_rate	max_error_rate	mean_error_rate	total_bases	mean_length	depth
BS12_240_821-3	np	24548714	24558445	24553579.5	98.5139	99.3561	98.935	0.976209	0.976209	0.976209	1762480911	511.33520162491800	71.7810171425311
BS12_240_821-3	illumina	22518857	22575167	22547012	97.1433	97.1433	97.1433	0.725672	0.725672	0.725672	5304255270	127	235.2531355374270
BS14_120_152-4	chopper	65477358	67029303	66253330.5	78.494	81.6	80.047	0.890912	0.890912	0.890912	5681725135	2158.080444232080	85.75757765113410
BS14_120_152-4	np	50879414	51745830	51312622	71.5927	71.5927	71.5927	0.999711	0.999711	0.999711	8349013413	1063.9479494663100	162.70876613945000
BS14_120_152-4	illumina	62198109	62302032	62250070.5	97.9175	97.9175	97.9175	0.691106	0.691106	0.691106	10508210458	127	168.80640252447600
BS14_240_170-1	chopper	12193474	12551693	12372583.5	91.8191	92.7583	92.2887	2.29243	2.29243	2.29243	844065224	1857.321271946710	68.2206124533328
BS14_240_170-1	np	28510013	28519338	28514675.5	98.8249	99.5754	99.20015000000000	1.61877	1.61877	1.61877	1915312057	789.3945967221760	67.16934432587180
BS14_240_170-1	illumina	27164871	27589606	27377238.5	97.4124	97.4124	97.4124	1.54681	1.54681	1.54681	6023675749	127	220.02495792261900
BS14_CNT_162-4	chopper	39497761	39621976	39559868.5	91.3625	99.341	95.35175	0.848516	0.848516	0.848516	1312368460	2227.7175531183500	33.174237169165500
BS14_CNT_162-4	np	38420767	38500504	38460635.5	93.1798	98.7472	95.96350000000000	0.941887	0.941887	0.941887	2324340070	846.0717184755170	60.43426063513690
BS14_CNT_162-4	illumina	21725480	21863661	21794570.5	95.826	95.826	95.826	0.819004	0.819004	0.819004	6970043646	127	319.80642362280100
BS16_CNT_131-4	illumina	42072592	42235547	42154069.5	97.381	97.381	97.381	0.726728	0.726728	0.726728	10142894737	127	240.61484116023500
BS21_CNT_582-1	chopper	14021922	14025865	14023893.5	99.1979	99.3273	99.26260000000000	1.00414	1.00414	1.00414	1648724831	1925.9049187106800	117.5654129860580
BS21_CNT_582-1	np	13975530	13985465	13980497.5	98.917	98.917	98.917	1.11023	1.11023	1.11023	3987092649	640.240406372195	285.18961138543200
BS21_CNT_582-1	illumina	27593520	27611189	27602354.5	99.4215	99.513	99.46725	0.699087	0.699087	0.699087	2357369370	125	85.40464799841620
BS22_360_573-3	chopper	28459223	29114874	28787048.5	98.1939	99.1667	98.6803	1.21246	1.21246	1.21246	898088048	2132.911656715640	31.197642509269400
BS22_360_573-3	np	28454893	28464768	28459830.5	98.777	99.3783	99.07765	1.23909	1.23909	1.23909	2221809323	619.1110293423070	78.06825564193010
BS22_360_573-3	illumina	27090409	27131131	27110770	97.721	97.721	97.721	0.617298	0.617298	0.617298	5958493986	126	219.783281183087
CAN7LA	illumina	4772518	7342988	6057753	96.1394	96.1394	96.1394	1.84974	1.84974	1.84974	3642278042	127	601.2589225740960
LLP09-1	chopper	34891760	34941995	34916877.5	97.4976	99.6122	98.5549	0.895199	0.895199	0.895199	769924000	1857.0105450019800	22.050196212419100
LLP09-1	np	34673957	34684081	34679019	98.7567	99.4751	99.1159	0.900152	0.900152	0.900152	2215161275	645.3870350456070	63.876122764603000
LLP09-1	illumina	32976610	33032945	33004777.5	97.4692	97.4692	97.4692	0.672408	0.672408	0.672408	4884158368	127	147.98337507350300
LLP19	chopper	26560504	26761690	26661097	91.4698	94.8567	93.16325	1.99663	1.99663	1.99663	2051117033	3146.0249504962600	76.93295714726220
LLP19	np	56628199	56923921	56776060	91.8843	95.9781	93.93120000000000	1.27371	1.27371	1.27371	3030517208	1036.4729025693600	53.37667333731860
LLP19	illumina	53757588	54226121	53991854.5	94.499	94.5434	94.5212	0.736605	0.736605	0.736605	7712850006	127	142.85210384836800
